//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa RT No Window--Spectrum--031--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5519.10000002328
PositionY = 9406.00000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa RT No Window--Spectrum--031--Spec.Data 1
 1.44327E+03	 1.47460E+03
 1.44575E+03	 1.47646E+03
 1.44823E+03	 1.47352E+03
 1.45071E+03	 1.47394E+03
 1.45319E+03	 1.47344E+03
 1.45566E+03	 1.47276E+03
 1.45814E+03	 1.47302E+03
 1.46062E+03	 1.46730E+03
 1.46309E+03	 1.47216E+03
 1.46557E+03	 1.47150E+03
 1.46804E+03	 1.46946E+03
 1.47051E+03	 1.46900E+03
 1.47298E+03	 1.46730E+03
 1.47546E+03	 1.46952E+03
 1.47793E+03	 1.46898E+03
 1.48040E+03	 1.46878E+03
 1.48286E+03	 1.46960E+03
 1.48533E+03	 1.46808E+03
 1.48780E+03	 1.46622E+03
 1.49027E+03	 1.46658E+03
 1.49273E+03	 1.46498E+03
 1.49520E+03	 1.46566E+03
 1.49766E+03	 1.46634E+03
 1.50013E+03	 1.46376E+03
 1.50259E+03	 1.46654E+03
 1.50505E+03	 1.46420E+03
 1.50751E+03	 1.46410E+03
 1.50997E+03	 1.46318E+03
 1.51243E+03	 1.46610E+03
 1.51489E+03	 1.46298E+03
 1.51735E+03	 1.46294E+03
 1.51981E+03	 1.45932E+03
 1.52226E+03	 1.46164E+03
 1.52472E+03	 1.46408E+03
 1.52718E+03	 1.46478E+03
 1.52963E+03	 1.46368E+03
 1.53208E+03	 1.46308E+03
 1.53454E+03	 1.46070E+03
 1.53699E+03	 1.46074E+03
 1.53944E+03	 1.46186E+03
 1.54189E+03	 1.46368E+03
 1.54434E+03	 1.46174E+03
 1.54679E+03	 1.46482E+03
 1.54924E+03	 1.46230E+03
 1.55169E+03	 1.46302E+03
 1.55413E+03	 1.46372E+03
 1.55658E+03	 1.46368E+03
 1.55902E+03	 1.46182E+03
 1.56147E+03	 1.46654E+03
 1.56391E+03	 1.46416E+03
 1.56636E+03	 1.46594E+03
 1.56880E+03	 1.46678E+03
 1.57124E+03	 1.46344E+03
 1.57368E+03	 1.46282E+03
 1.57612E+03	 1.46522E+03
 1.57856E+03	 1.46156E+03
 1.58100E+03	 1.46294E+03
 1.58344E+03	 1.46426E+03
 1.58587E+03	 1.46068E+03
 1.58831E+03	 1.46234E+03
 1.59074E+03	 1.45958E+03
 1.59318E+03	 1.46180E+03
 1.59561E+03	 1.46198E+03
 1.59805E+03	 1.45800E+03
 1.60048E+03	 1.46136E+03
 1.60291E+03	 1.45912E+03
 1.60534E+03	 1.46002E+03
 1.60777E+03	 1.45848E+03
 1.61020E+03	 1.45820E+03
 1.61263E+03	 1.45596E+03
 1.61506E+03	 1.45524E+03
 1.61749E+03	 1.45564E+03
 1.61991E+03	 1.45272E+03
 1.62234E+03	 1.45176E+03
 1.62476E+03	 1.45082E+03
 1.62719E+03	 1.45320E+03
 1.62961E+03	 1.45034E+03
 1.63203E+03	 1.45244E+03
 1.63446E+03	 1.44926E+03
 1.63688E+03	 1.44834E+03
 1.63930E+03	 1.45042E+03
 1.64172E+03	 1.44874E+03
 1.64414E+03	 1.44880E+03
 1.64656E+03	 1.44370E+03
 1.64897E+03	 1.44424E+03
 1.65139E+03	 1.44550E+03
 1.65381E+03	 1.44968E+03
 1.65622E+03	 1.44608E+03
 1.65864E+03	 1.44548E+03
 1.66105E+03	 1.44642E+03
 1.66346E+03	 1.44508E+03
 1.66588E+03	 1.44446E+03
 1.66829E+03	 1.44232E+03
 1.67070E+03	 1.44478E+03
 1.67311E+03	 1.44176E+03
 1.67552E+03	 1.44262E+03
 1.67793E+03	 1.44306E+03
 1.68034E+03	 1.44460E+03
 1.68274E+03	 1.44058E+03
 1.68515E+03	 1.44214E+03
 1.68756E+03	 1.44352E+03
 1.68996E+03	 1.44326E+03
 1.69236E+03	 1.44174E+03
 1.69477E+03	 1.44194E+03
 1.69717E+03	 1.44084E+03
 1.69957E+03	 1.44114E+03
 1.70197E+03	 1.44032E+03
 1.70438E+03	 1.44074E+03
 1.70678E+03	 1.43948E+03
 1.70917E+03	 1.44090E+03
 1.71157E+03	 1.44078E+03
 1.71397E+03	 1.43942E+03
 1.71637E+03	 1.43626E+03
 1.71876E+03	 1.43900E+03
 1.72116E+03	 1.43768E+03
 1.72355E+03	 1.43760E+03
 1.72595E+03	 1.43972E+03
 1.72834E+03	 1.43604E+03
 1.73073E+03	 1.43734E+03
 1.73313E+03	 1.43394E+03
 1.73552E+03	 1.43498E+03
 1.73791E+03	 1.43316E+03
 1.74030E+03	 1.42988E+03
 1.74269E+03	 1.43260E+03
 1.74507E+03	 1.42958E+03
 1.74746E+03	 1.43478E+03
 1.74985E+03	 1.43654E+03
 1.75224E+03	 1.43328E+03
 1.75462E+03	 1.43370E+03
 1.75701E+03	 1.43532E+03
 1.75939E+03	 1.43524E+03
 1.76177E+03	 1.43202E+03
 1.76415E+03	 1.43534E+03
 1.76654E+03	 1.43142E+03
 1.76892E+03	 1.43380E+03
 1.77130E+03	 1.43142E+03
 1.77368E+03	 1.43384E+03
 1.77606E+03	 1.43306E+03
 1.77843E+03	 1.43088E+03
 1.78081E+03	 1.43158E+03
 1.78319E+03	 1.43344E+03
 1.78556E+03	 1.43250E+03
 1.78794E+03	 1.43400E+03
 1.79031E+03	 1.43162E+03
